H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
1.06,1.691,0.032,0.0062,1.9,0.290,0.019,0.000,1.692,0.032,0.019,0.019,1.673,88.366,1.889,0.0037,0.019,0.000,1.804,6,1.06,1.06,18.00
1.08,1.692,0.032,0.0062,1.9,0.290,0.019,0.000,1.693,0.032,0.019,0.019,1.673,86.744,1.888,0.0037,0.019,0.000,1.766,6,1.08,1.08,18.00
1.10,1.735,0.032,0.0072,1.9,0.280,0.019,0.000,1.736,0.032,0.020,0.020,1.716,87.344,1.882,0.0042,0.019,0.000,1.764,6,1.10,1.10,18.00
1.12,1.768,0.034,0.0019,1.9,0.260,0.019,0.000,1.769,0.034,0.020,0.020,1.749,87.386,1.950,0.0011,0.019,0.000,1.817,6,1.12,1.12,18.00
1.14,1.863,0.035,0.0079,1.9,0.250,0.019,0.000,1.865,0.035,0.020,0.020,1.844,90.545,1.898,0.0043,0.019,0.000,1.819,6,1.14,1.14,18.00
1.16,1.996,0.035,0.0068,1.9,0.240,0.018,0.000,1.997,0.035,0.021,0.021,1.976,95.324,1.781,0.0034,0.018,0.000,1.788,6,1.16,1.16,18.00
1.18,2.082,0.036,0.0075,1.9,0.230,0.017,0.000,2.083,0.036,0.021,0.021,2.062,97.781,1.755,0.0036,0.017,0.000,1.800,6,1.18,1.18,18.00
1.20,2.162,0.037,0.0019,2.0,0.220,0.017,0.000,2.163,0.037,0.021,0.021,2.141,99.821,1.742,0.0009,0.017,0.000,1.819,6,1.20,1.20,18.00
1.22,2.202,0.039,-0.0025,2.1,0.200,0.018,0.000,2.202,0.039,0.022,0.022,2.180,99.944,1.771,-0.0011,0.018,0.000,1.845,6,1.22,1.22,18.00
1.24,2.241,0.042,-0.0014,2.1,0.190,0.019,0.000,2.241,0.042,0.022,0.022,2.218,100.063,1.893,-0.0006,0.019,0.000,1.968,6,1.24,1.24,18.00
1.26,2.226,0.046,-0.0004,2.1,0.190,0.021,0.000,2.226,0.046,0.023,0.023,2.203,97.790,2.097,-0.0002,0.021,0.000,2.129,5,1.26,1.26,18.00
1.28,2.161,0.052,0.0020,2.1,0.170,0.024,0.000,2.162,0.052,0.023,0.023,2.139,93.439,2.445,0.0009,0.024,0.000,2.381,5,1.28,1.28,18.00
1.30,2.115,0.053,0.0064,2.1,0.150,0.025,0.000,2.116,0.053,0.023,0.023,2.092,89.999,2.528,0.0031,0.025,0.000,2.399,5,1.30,1.30,18.00
1.32,2.195,0.054,0.0100,2.1,0.200,0.025,0.000,2.197,0.054,0.024,0.024,2.173,92.033,2.490,0.0046,0.025,0.000,2.461,5,1.32,1.32,18.00
